Location and facility name,,Code for the location to be declared in Data Element 5/23
Heathrow 120,"UPS SCS (UK) Ltd, Unit 1, Blackthorne Road, Poyle, Berkshire, SL3 0DA",GBAUPLELHRXDC
Heathrow 120,"UPS SCS (UK) Ltd, (Freightnet Handling Ltd), X2, Unit 5 & 6, Hatton Cross, Heathrow Airport, TW6 2GE",GBAUHOULHRXAH
Heathrow 120,"Westgate Handling Services Ltd, Unit 7, X2 Centre, Hatton Cross, Hounslow, TW6 2GE",GBAUHOULHRXBT
Luton 223,"Aircargo & Container Service, Unit H, Airport Executive Park, President Way, Luton Airport, Luton, LU2 9NL",GBAULUTLTNXBG
Manchester 191,"Air Menzies International Ltd, Building 314, World Freight Terminal, Manchester Airport, M90 5EX",GBAUMANMANXBM 
Manchester 191,"Allport Cargo Services Ltd, Unit 704, Kingspark, Kingsmead Place, Trafford Park, Manchester, M17 1PH",GBAUMANMANXBB
Manchester 191,"Charles Kendall Freight Ltd, Units 10 & 11 The Furrows, Off Barton Dock Road, Stretford, Manchester, M32 0SZ",GBAUSFDMANXDH
Manchester 191,"Davies Turner Air Cargo Ltd, Unit 10, Building 301, World Freight Terminal, Manchester Airport, Manchester, M90 5UX",GBAUMANMANXAD
Manchester 191,"Davies Turner Air Cargo Ltd, Manchester International Freight Terminal, Westing House Road, Trafford Park, Manchester, MZ17 1DP",GBAUTFKMANXCL
Manchester 191,"DHL International (UK) Ltd, 2 Sunbank Lane, Airport City, Manchester, Altrincham, WA15 0AF",GBAUACMMANXXX
Manchester 191,"Redhead Freight Ltd, Dealburn Road, Low Moor, Bradford, BD12 0RG",GBAUBRFMANXCJ
Manchester 191,"Sandalwest Ltd TA/A TQ Express, Unit 7, Building 301, World Freight Terminal, Manchester Airport, M90 5TQ",GBAUMANMANXBJ
Medway 065,"Charles Kendall Freight Ltd, Liberty House, London Thamesport, Isle of Grain, Rochester, Kent, ME3 0EP",GBAURCSRCSXDI
Medway 065,"Davies Turner & Co Ltd, Dartford Freight Terminal, Edison’s Park, Crossways, Dartford, Kent DA2 6QJ",GBAUDFDLGPXAD
Medway 065 ,"Europa Road Ltd, Littlebrook DCI, Shield Road, Kent, DA1 5RU",GBAUDFDTHPEUD
Medway 065 ,"TTS Logistics Limited, Unit 2 Invicta Riverside, New Hythe Lane, Larkfield, Kent, ME20 7FG",GBAULRKMEDWSG
Stansted 121 ,"DHL International UK Ltd, Unit 5 Vision Stansted Ind Est, Mead Way, off Dunmow Road, Great Hallingbury, Bishops Stortford, CM22 7FD",GBAUBSTLSAXXX
Tilbury 150 ,"Crown Fine Art Ltd, Union Court, 20-22 Union Road, London, SW4 6JP",GBAUCLPTILCTD
Tilbury 150 ,"Redhead Freight Limited, Unit 3, Juniper Park, Fenton Way, Southfields Industrial Estate, Laindon, Essex, SS15 6RZ",GBAULAILONXAM
